
> star-paper@0.1.0 preview
> npx --yes serve . -l 8080

 INFO  Accepting connections at http://localhost:8080
 HTTP  29/05/2026 09:40:59 127.0.0.1 GET /assets/vendor/fonts/font-10-H4clBXOCl9bbnla_nHIq4pu9uqc.woff2?v=1
 HTTP  29/05/2026 09:40:59 127.0.0.1 GET /assets/vendor/fonts/font-11-H4clBXOCl9bbnla_nHIq65u9uqc.woff2?v=1
 HTTP  29/05/2026 09:40:59 127.0.0.1 Returned 200 in 13 ms
 HTTP  29/05/2026 09:40:59 127.0.0.1 GET /assets/vendor/fonts/font-12-H4clBXOCl9bbnla_nHIq4Ju9uqc.woff2?v=1
 HTTP  29/05/2026 09:40:59 127.0.0.1 Returned 200 in 13 ms
 HTTP  29/05/2026 09:40:59 127.0.0.1 Returned 200 in 11 ms
 HTTP  29/05/2026 09:40:59 127.0.0.1 Returned 200 in 8 ms
 HTTP  29/05/2026 09:40:59 127.0.0.1 GET /assets/vendor/fonts/font-13-H4clBXOCl9bbnla_nHIq4Zu9uqc.woff2?v=1
 HTTP  29/05/2026 09:40:59 127.0.0.1 GET /assets/vendor/fonts/font-14-H4clBXOCl9bbnla_nHIq75u9.woff2?v=1
 HTTP  29/05/2026 09:40:59 127.0.0.1 Returned 304 in 1 ms
 HTTP  29/05/2026 09:40:59 127.0.0.1 Returned 200 in 4 ms
 HTTP  29/05/2026 09:40:59 127.0.0.1 GET /assets/vendor/fonts/font-15-JTUSjIg1_i6t8kCHKm459WRhyzbi.woff2?v=1
 HTTP  29/05/2026 09:40:59 127.0.0.1 GET /assets/vendor/fonts/font-16-JTUSjIg1_i6t8kCHKm459W1hyzbi.woff2?v=1
 HTTP  29/05/2026 09:40:59 127.0.0.1 Returned 200 in 5 ms
 HTTP  29/05/2026 09:40:59 127.0.0.1 GET /assets/vendor/fonts/font-17-JTUSjIg1_i6t8kCHKm459WZhyzbi.woff2?v=1
 HTTP  29/05/2026 09:40:59 127.0.0.1 Returned 200 in 5 ms
 HTTP  29/05/2026 09:40:59 127.0.0.1 GET /assets/vendor/fonts/font-18-JTUSjIg1_i6t8kCHKm459Wdhyzbi.woff2?v=1
 HTTP  29/05/2026 09:40:59 127.0.0.1 Returned 200 in 4 ms
 HTTP  29/05/2026 09:40:59 127.0.0.1 GET /assets/vendor/fonts/font-19-JTUSjIg1_i6t8kCHKm459Wlhyw.woff2?v=1
 HTTP  29/05/2026 09:40:59 127.0.0.1 Returned 200 in 5 ms
 HTTP  29/05/2026 09:40:59 127.0.0.1 GET /assets/vendor/fonts/font-20-V8mDoQDjQSkFtoMM3T6r8E7mPb54C-s0.woff2?v=1
 HTTP  29/05/2026 09:40:59 127.0.0.1 Returned 200 in 4 ms
 HTTP  29/05/2026 09:40:59 127.0.0.1 GET /assets/vendor/fonts/font-21-V8mDoQDjQSkFtoMM3T6r8E7mPb94C-s0.woff2?v=1
 HTTP  29/05/2026 09:40:59 127.0.0.1 Returned 200 in 3 ms
 HTTP  29/05/2026 09:40:59 127.0.0.1 GET /assets/vendor/fonts/font-22-V8mDoQDjQSkFtoMM3T6r8E7mPbF4Cw.woff2?v=1
 HTTP  29/05/2026 09:40:59 127.0.0.1 Returned 304 in 2 ms
 HTTP  29/05/2026 09:40:59 127.0.0.1 Returned 200 in 5 ms
 HTTP  29/05/2026 09:40:59 127.0.0.1 GET /assets/vendor/fonts/font-23-i7dPIFZifjKcF5UAWdDRYE58RWq7.woff2?v=1
 HTTP  29/05/2026 09:40:59 127.0.0.1 GET /assets/vendor/fonts/font-24-i7dPIFZifjKcF5UAWdDRYE98RWq7.woff2?v=1
 HTTP  29/05/2026 09:40:59 127.0.0.1 Returned 200 in 4 ms
 HTTP  29/05/2026 09:40:59 127.0.0.1 GET /assets/vendor/fonts/font-25-i7dPIFZifjKcF5UAWdDRYEF8RQ.woff2?v=1
 HTTP  29/05/2026 09:40:59 127.0.0.1 Returned 200 in 4 ms
 HTTP  29/05/2026 09:40:59 127.0.0.1 GET /assets/vendor/fonts/font-26-i7dMIFZifjKcF5UAWdDRaPpZUFqaHjyV.woff2?v=1
 HTTP  29/05/2026 09:40:59 127.0.0.1 Returned 200 in 4 ms
 HTTP  29/05/2026 09:40:59 127.0.0.1 GET /assets/vendor/fonts/font-27-i7dMIFZifjKcF5UAWdDRaPpZUFuaHjyV.woff2?v=1
 HTTP  29/05/2026 09:40:59 127.0.0.1 GET /assets/vendor/fonts/font-28-i7dMIFZifjKcF5UAWdDRaPpZUFWaHg.woff2?v=1
 HTTP  29/05/2026 09:40:59 127.0.0.1 Returned 200 in 8 ms
 HTTP  29/05/2026 09:40:59 127.0.0.1 Returned 200 in 9 ms
 HTTP  29/05/2026 09:40:59 127.0.0.1 Returned 200 in 6 ms
 HTTP  29/05/2026 09:40:59 127.0.0.1 GET /assets/vendor/phosphor-icons/regular/style.css?v=1
 HTTP  29/05/2026 09:40:59 127.0.0.1 Returned 304 in 1 ms
 HTTP  29/05/2026 09:40:59 127.0.0.1 GET /assets/vendor/phosphor-icons/regular/Phosphor.woff2?v=1
 HTTP  29/05/2026 09:40:59 127.0.0.1 GET /assets/vendor/phosphor-icons/fill/style.css?v=1
 HTTP  29/05/2026 09:40:59 127.0.0.1 Returned 304 in 1 ms
 HTTP  29/05/2026 09:40:59 127.0.0.1 Returned 304 in 1 ms
 HTTP  29/05/2026 09:40:59 127.0.0.1 GET /assets/vendor/phosphor-icons/fill/Phosphor-Fill.woff2?v=1
 HTTP  29/05/2026 09:40:59 127.0.0.1 GET /assets/vendor/phosphor-icons/duotone/style.css?v=1
 HTTP  29/05/2026 09:40:59 127.0.0.1 GET /assets/vendor/phosphor-icons/duotone/Phosphor-Duotone.woff2?v=1
 HTTP  29/05/2026 09:40:59 127.0.0.1 Returned 304 in 1 ms
 HTTP  29/05/2026 09:40:59 127.0.0.1 GET /assets/vendor/three/three.module.js?v=1
 HTTP  29/05/2026 09:40:59 127.0.0.1 Returned 200 in 50 ms
 HTTP  29/05/2026 09:40:59 127.0.0.1 Returned 200 in 56 ms
 HTTP  29/05/2026 09:40:59 127.0.0.1 GET /assets/vendor/three/OrbitControls.js?v=1
 HTTP  29/05/2026 09:40:59 127.0.0.1 GET /assets/vendor/topojson-client/topojson-client.esm.js?v=1
 HTTP  29/05/2026 09:40:59 127.0.0.1 Returned 200 in 4 ms
 HTTP  29/05/2026 09:40:59 127.0.0.1 Returned 200 in 61 ms
 HTTP  29/05/2026 09:40:59 127.0.0.1 Returned 200 in 6 ms
 HTTP  29/05/2026 09:40:59 127.0.0.1 GET /assets/vendor/supabase/supabase.min.js?v=1
 HTTP  29/05/2026 09:40:59 127.0.0.1 Returned 304 in 2 ms
 HTTP  29/05/2026 09:40:59 127.0.0.1 GET /app.browser-assets.js?v=5
 HTTP  29/05/2026 09:40:59 127.0.0.1 GET /app.public-pages.js?v=1
 HTTP  29/05/2026 09:40:59 127.0.0.1 Returned 304 in 3 ms
 HTTP  29/05/2026 09:40:59 127.0.0.1 Returned 304 in 2 ms
 HTTP  29/05/2026 09:40:59 127.0.0.1 GET /app.boot-head.js?v=1
 HTTP  29/05/2026 09:40:59 127.0.0.1 GET /app.boot-flags.js?v=1
 HTTP  29/05/2026 09:40:59 127.0.0.1 Returned 304 in 8 ms
 HTTP  29/05/2026 09:40:59 127.0.0.1 Returned 304 in 7 ms
 HTTP  29/05/2026 09:40:59 127.0.0.1 GET /app.boot-body.js?v=1
 HTTP  29/05/2026 09:40:59 127.0.0.1 GET /public-page-head.js?v=1
 HTTP  29/05/2026 09:40:59 127.0.0.1 Returned 304 in 1 ms
 HTTP  29/05/2026 09:40:59 127.0.0.1 GET /public-page-theme.js?v=1
